0,355210108
1,355210101
0,355210109
1,355210113
2,355210106
0,355210100
1,355210103
2,355210110
3,355210105
0,355210107
1,355210104
2,355210111
0,355210112
1,355210102
2,35521099
0,355210131
1,355210132
0,355210118
1,355210125
0,355210128
1,355210134
0,355210137
0,355210133
0,355210121
1,355210126
0,355210115
1,355210129
0,355210124
1,355210135
0,355210117
1,355210130
0,355210119
1,355210120
2,355210116
0,355210123
1,355210122
0,355210114
1,355210127
0,355210136
1,355210138
0,355210144
0,355210141
0,355210142
0,355210143
0,355210140
0,355210151
0,355210150
0,355210147
0,355210148
0,355210146
0,355210149
0,355210154
0,355210157
0,355210158
0,355210156
0,355210153
0,355210155
0,355210163
1,355210165
0,355210164
1,355210160
0,355210161
1,355210166
0,355210162
1,355210170
0,355210171
1,355210169
0,355210168
1,355210172
0,355210174
1,355210177
0,355210176
1,355210175
0,355210183
1,355210180
0,355210184
1,355210181
0,355210179
1,355210182
0,355210189
1,355210190
0,355210186
1,355210191
0,355210188
1,355210187
0,355210193
1,355210195
0,355210196
1,355210192
0,355210194
